name,ACH-000159,ACH-000189,ACH-000234,ACH-000246,ACH-000250,ACH-000262,ACH-000272,ACH-000313,ACH-000317,ACH-000375,ACH-000385,ACH-000411,ACH-000433,ACH-000484,ACH-000495,ACH-000600,ACH-000649,ACH-000684,ACH-000709,ACH-000792,ACH-000907,ACH-001163,ACH-001194,ACH-001310,ACH-001398,ACH-001532,ACH-001687,ACH-001688,ACH-002150,ACH-002189,most_freq
DZIP3,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,NE,NE,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
E2F1,aNE,aE,aNE,aNE,aNE,aNE,aNE,aNE,aE,NE,aNE,aNE,aNE,aNE,aNE,aE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
E2F2,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,NE,NE,NE,NE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,NE,aNE,aNE
E2F3,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
E2F4,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE,aNE,NE,aNE
E2F5,NE,NE,aNE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,aNE,NE,NE,NE,NE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,NE
E2F6,aNE,aE,aE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aE,aE,aNE,aE,aE,aNE,aNE,aE,aNE,aNE,aE,aNE,aNE,aE,aE,aNE,aNE,aNE,aE,aNE,aNE
E2F7,NE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,aNE,NE,NE,aNE,NE,NE,NE,NE,NE,aNE,NE,NE,aNE,NE,NE,NE,aNE,aNE,NE,aNE,NE
E2F8,NE,NE,NE,NE,NE,NE,aNE,NE,NE,aNE,aNE,NE,aNE,aNE,NE,NE,aNE,aNE,NE,NE,aNE,NE,NE,aNE,NE,NE,aNE,NE,aNE,NE,NE
E4F1,aE,aNE,aNE,aE,aE,aE,aNE,aNE,aNE,aNE,aNE,aE,aE,aNE,aE,aNE,aNE,aNE,aE,aE,aNE,aE,aE,aNE,aNE,aE,aNE,aNE,aNE,aNE,aNE
EAF1,aE,aE,aE,aNE,aE,aNE,E,aE,aE,aNE,aNE,aE,aE,E,aNE,aE,aE,aNE,aNE,E,aNE,aNE,E,aE,aNE,aE,aNE,aNE,aE,aE,aE
EAF2,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aE,NE,aNE,NE,aNE,aNE,aNE,NE,NE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE
EAPP,aNE,aE,aE,aE,E,aE,aNE,aE,aNE,aE,aE,aNE,aE,aE,aNE,aNE,aE,aE,aE,aE,aNE,aNE,aE,aNE,aNE,aNE,aE,aE,aE,aE,aE
EARS2,aNE,aNE,NE,aNE,NE,aNE,NE,NE,aE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aE,NE,aNE,aE,aNE
EBAG9,aNE,NE,aNE,NE,aNE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,aNE,aNE,aNE,NE,NE,aNE,NE
EBF1,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE
EBF2,NE,NE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,aNE,NE
EBF3,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE
EBF4,NE,NE,aNE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,aNE,NE,NE,NE,aNE,aNE,NE,NE,NE,NE,NE,aNE,NE,NE
EBI3,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
EBLN1,NE,aNE,NE,NE,NE,NE,NE,NE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,NE,NE,NE,NE,NE,aNE,aNE,aNE,NE,aNE,NE,aNE,NE
EBLN2,NE,NE,NE,NE,NE,NE,NE,aNE,NE,aNE,NE,NE,NE,NE,aNE,NE,NE,NE,aNE,NE,NE,NE,aNE,NE,NE,aNE,NE,NE,NE,NE,NE
EBNA1BP2,aE,E,aE,aE,E,E,aE,aE,aE,E,aE,aE,aE,E,aE,E,aE,aE,aE,aE,aE,aE,E,E,E,E,aE,aE,aE,E,aE
EBP,NE,aNE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,aNE,aNE,NE,NE,,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE
EBPL,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE
ECD,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
ECE1,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,NE,NE,aNE,NE,NE,NE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,NE,aNE
ECEL1,aNE,NE,aNE,NE,aNE,aNE,NE,aNE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,NE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE
ECH1,aNE,aNE,aNE,NE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE
ECHDC1,NE,NE,aNE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,aNE,NE,NE,NE,NE,aNE,aNE,NE,NE,NE,aNE,NE,NE,NE,aNE,NE,NE,NE,NE
ECHDC2,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ECHDC3,NE,aNE,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE
ECHS1,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,aNE,aNE,aNE
ECI1,aNE,aNE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE
ECI2,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,NE,NE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ECM1,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
ECM2,NE,NE,aNE,NE,aNE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,aNE,NE,aNE,aNE,NE,aNE,NE,aNE,aNE,NE,aNE,NE,NE,NE,NE,NE
ECPAS,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE
ECRG4,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE
ECSIT,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE
ECT2,E,aE,E,aE,E,E,aNE,aE,aNE,aE,aNE,aE,E,E,aE,E,E,aE,aE,E,aE,E,aE,aE,aE,E,E,aE,E,E,E
ECT2L,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE
EDA,NE,NE,aNE,aNE,NE,aNE,NE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,,aNE,NE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,NE,NE,NE,aNE,aNE
EDA2R,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,aNE,,NE,aNE,aNE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,NE
EDAR,aNE,NE,aNE,NE,NE,NE,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,aNE,aNE
EDARADD,aNE,aNE,aNE,NE,aNE,NE,aNE,NE,NE,NE,NE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,NE,aNE
EDC3,aNE,NE,aNE,aNE,aNE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE
EDC4,aNE,aE,aNE,aNE,aNE,aE,aNE,aNE,aNE,aNE,aNE,aNE,aE,aNE,aNE,aNE,aNE,aNE,aNE,aE,aNE,aNE,aNE,aE,aNE,NE,aNE,aE,aNE,aNE,aNE
EDDM3A,NE,aNE,NE,NE,aNE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,aNE,NE,NE
EDDM3B,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE
EDEM1,aNE,aNE,NE,aNE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,aNE,aNE,NE,NE,NE,aNE,NE,NE,NE,aNE,NE,aNE,NE,NE,aNE,NE,aNE,NE
EDEM2,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
EDEM3,aNE,aNE,aNE,aE,aNE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
EDF1,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
EDIL3,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,NE,NE,NE,aNE,aNE
EDN1,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
EDN2,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,NE,aNE,aNE
EDN3,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
EDNRA,NE,NE,NE,NE,aNE,NE,aNE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,aNE,aNE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,aNE,NE,NE
EDNRB,aNE,aNE,aNE,NE,NE,NE,aNE,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,aNE,NE,NE,aNE,NE,NE,NE,NE,NE,aNE,NE,NE,aNE,aNE,aNE,aNE
EDRF1,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
EEA1,NE,aNE,NE,NE,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE
EED,aNE,aNE,aNE,aE,aE,aNE,aNE,NE,aNE,aE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aE,aNE,aNE,aE,NE,NE,NE,aNE,aE,aNE,aNE,aNE,aNE,aNE
EEF1A1,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
EEF1A2,NE,aNE,aNE,aNE,NE,aNE,NE,aNE,NE,aNE,NE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,NE,aNE,NE,aNE,aNE,NE,aNE
EEF1AKMT1,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
EEF1AKMT2,aNE,aNE,aNE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE
EEF1AKMT3,aNE,aNE,aE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
EEF1AKMT4,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,NE,NE,NE,aNE,aNE
EEF1B2,E,E,E,E,aE,aE,E,aE,E,aE,E,E,E,E,aE,E,E,E,E,aNE,E,aE,aE,E,E,E,E,E,aE,E,E
EEF1D,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
EEF1E1,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aE,aE,aNE,aNE,aNE
EEF1G,E,E,E,E,E,E,E,E,E,E,E,E,E,aE,E,E,E,E,aE,E,aNE,E,E,E,E,E,E,E,E,E,E
EEF2,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
EEF2K,NE,NE,aNE,NE,NE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,aNE
EEF2KMT,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
EEFSEC,aE,aE,aE,aE,aE,aE,aE,aE,E,aE,aNE,aNE,aE,aE,aE,aNE,aE,aNE,aNE,aNE,aE,aNE,E,aE,aE,aNE,aE,aE,aE,aNE,aE
EEPD1,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,aNE,NE,aNE,NE,NE,NE,NE,aNE,NE,NE,NE,aNE,NE,NE,aNE,NE,NE,NE,aNE,NE,NE
EFCAB1,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE
EFCAB11,NE,NE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,NE,aNE
EFCAB12,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE
EFCAB13,aNE,aNE,aNE,NE,aNE,NE,NE,aNE,NE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE
EFCAB14,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE
EFCAB2,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
EFCAB3,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE
EFCAB5,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
EFCAB6,NE,aNE,aNE,NE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,aNE,NE,aNE,NE,NE,aNE,NE
EFCAB7,NE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,aNE
EFCAB9,NE,aNE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE
EFCC1,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE
EFEMP1,NE,aNE,NE,NE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,NE,NE,NE,aNE
EFEMP2,NE,aNE,aNE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,aNE,NE,aNE,aNE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,aNE,aNE,NE
EFHB,NE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,aNE,NE,aNE,NE,NE,aNE,aNE,NE,NE,NE,NE
EFHC1,aNE,NE,aNE,aNE,NE,NE,aNE,NE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE
EFHC2,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE,NE,,aNE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE
EFHD1,aNE,NE,aNE,NE,NE,NE,NE,aNE,NE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,NE,NE,NE,NE,NE,aNE
EFHD2,aNE,aNE,aNE,NE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,aNE,aNE
EFL1,E,aE,aE,E,E,aE,E,E,aE,aE,aE,E,aE,E,E,E,E,aE,aE,aE,E,E,E,aE,E,E,E,E,aE,aE,E
EFNA1,aNE,aNE,NE,NE,NE,NE,aNE,aNE,NE,aNE,NE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,NE,NE,aNE,NE,aNE,aNE
EFNA2,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,NE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE
EFNA3,aNE,aE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE
EFNA4,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
EFNA5,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
EFNB1,NE,NE,aNE,NE,NE,NE,NE,NE,aNE,aNE,NE,aNE,NE,NE,NE,,NE,NE,NE,aNE,NE,NE,aNE,NE,aNE,NE,NE,NE,NE,NE,NE
EFNB2,aNE,NE,aNE,NE,NE,aNE,NE,NE,aNE,aNE,aNE,NE,aNE,NE,NE,NE,NE,aNE,NE,aNE,aNE,aNE,NE,aNE,NE,NE,aNE,NE,NE,NE,NE
EFNB3,aNE,NE,NE,NE,NE,NE,aNE,aNE,NE,NE,aNE,NE,NE,NE,NE,NE,aNE,NE,NE,aNE,NE,NE,aNE,aNE,NE,aNE,NE,NE,aNE,aNE,NE
EFR3A,aNE,aNE,aNE,aNE,aNE,aE,aNE,aE,aNE,aNE,aNE,aNE,aE,aE,aNE,NE,aNE,aNE,E,aNE,aNE,aNE,aNE,aNE,aNE,NE,aE,aE,aNE,aE,aNE
EFR3B,NE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,NE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE
EFS,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,NE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,NE,NE,NE,aNE,aNE,aNE
EFTUD2,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
EGF,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
EGFL6,NE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,NE,NE,NE,NE,NE,,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE
EGFL7,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
EGFL8,aNE,NE,aNE,NE,aNE,NE,aNE,NE,aNE,NE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,NE,aNE,aNE,NE,NE,aNE,aNE
EGFLAM,NE,aNE,NE,NE,NE,aNE,NE,NE,NE,aNE,aNE,NE,aNE,NE,NE,NE,aNE,aNE,NE,NE,aNE,aNE,NE,aNE,aNE,NE,aNE,aNE,NE,NE,NE
EGFR,aNE,aE,aE,aNE,aNE,aNE,aE,aNE,aNE,aNE,aE,aE,aE,NE,aNE,aNE,aNE,aNE,aE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
EGLN1,NE,NE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,NE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,aE,NE,aE,NE,aNE,aNE,NE,NE,NE,aNE,aNE,aNE
EGLN2,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE
EGLN3,NE,NE,NE,NE,NE,NE,NE,aNE,aNE,aNE,NE,NE,aNE,NE,aNE,NE,aNE,NE,aNE,NE,NE,NE,NE,NE,NE,NE,NE,aNE,aNE,aNE,NE
EGR1,aNE,NE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,aNE,NE,aNE,aNE,NE,NE,aNE,NE,aNE,aNE,NE,aNE,aNE,aNE,aNE,aNE
